Community; Node ID; Words; Links
happy; 394; ['hello', 'happy', 'share', 'new', 'paper', 'impact', 'pandemic', 'market']; 134
happy; 264; ['new', 'happy', 'keep', 'life', 'pandemic']; 132
happy; 260; ['new', 'happy', 'keep', 'life', 'pandemic']; 132
happy; 363; ['people', 'say', 'world', 'yet', 'happy', 'take', 'ground']; 118
happy; 323; ['happy', 'year', 'grapple', 'global', 'pandemic', 'join', 'us']; 116

Community; Node ID; Words; Links
hope; 730; ['open', 'new', 'people', 'new', 'hope', 'strength']; 132
hope; 774; ['hope', 'get', 'well', 'soon', 'exam', 'pandemic']; 101
hope; 760; ['give', 'nation', 'hope', 'amidst', 'pandemic', 'one']; 86
hope; 721; ['going', 'wipe', 'people', 'cant', 'much', 'hope']; 86
hope; 442; ['new', 'hope', 'like']; 86

Community; Node ID; Words; Links
sad; 1062; ['active', 'new', 'sad', 'say', 'people', 'due']; 151
sad; 1018; ['sad', 'though', 'need', 'aware', 'part', 'new', 'normal', 'people', 'need']; 147
sad; 1164; ['ignorance', 'people', 'show', 'pandemic', 'sad', 'yes', 'get', 'yes', 'get']; 146
sad; 1132; ['active', 'new', 'sad', 'say', 'people']; 139
sad; 1026; ['active', 'new', 'sad', 'say', 'people']; 139
