words,user_location
"['analytics', 'company', 'help', 'transportation', 'make', 'shift']",
"['stella', 'doctor', 'based', 'recently', 'made', 'successful']",Kenya
"['third', 'runway', 'international', 'airport', 'fully', 'undergoing']",Worldwide
"['polish', 'senator', 'aka', 'agrarian', 'party', 'tested', 'positive']","Berlin, Germany"
"['latest', 'update', 'per', 'overall', 'confirmed', 'latest', 'daily']",
"['positive', 'reach', 'continue', 'rise', 'rapidly', 'across', 'country']",KwaZulu - Natal South Africa
"['update', 'energy', 'oil']",
"['deeply', 'hear', 'sad', 'news', 'union', 'home', 'minister', 'getting']","Manipur, India"
"['model', 'quicken', 'release', 'vaccine']","San Francisco, CA."
"['u', 'help', 'student', 'union', 'member', 'whats', 'going', 'year', 'last', 'term']","Tonbridge, South East"
"['seen', 'many', 'people', 'really']","South Dublin, Ireland"
"['debate', 'reconstruction', 'urgent', 'talk', 'inequality', 'come']",Knowledge is Global
"['got', 'time', 'said', 'take', 'w']",
"['advertising', 'marketing', 'h']","New York, NY 🗽"
['cute'],
"['let', 'us', 'use', 'something', 'good', 'campaign', 'raise', 'awareness', 'wearing']","New Delhi, India"
"['crisis', 'brought', 'light', 'promise', 'ability', 'change', 'world']","Derby, England"
"['beginning', 'today', 'august', 'least', 'august']",
"['moratorium', 'set', 'end', 'midnight', 'sept']",Silicon Valley
"['guessing', 'supportive', 'disagree', 'timing', 'dover']",
"['way', 'get']","Midlothian, TX"
"['another', 'critical', 'moment']",Ireland
"['giving', 'ability', 'watch', 'order', 'prepared', 'log', 'onto', 'put']","Delhi, Jaipur, Dehradun, UK"
"['new', 'death', 'state', 'august', 'till', 'total']",hyderabad
['active'],
"['daily', 'status', 'update', 'august']",#AFRICA #MENA
"['remains', 'worst', 'humanitarian', 'crisis', 'ongoing', 'conflict', 'sixth', 'year', 'spread']",Philippines
"['one', 'tried', 'effect', 'soft', 'much', 'higher']",
"['audience', 'map', 'via']",España
"['simple', 'effect', 'track', 'trace', 'keeping', 'diary', 'everywhere', 'youve']",England
"['frequency', 'aggressively', 'theyre', 'trying', 'stick', 'socialist', 'label']",
"['key', 'guidance', 'page', 'information', 'need', 'primary', 'care', 'directory']",Chesham
"['anybody', 'bad', 'better', 'read', 'maybe']",Sapphire Coast
"['manager', 'reaction']",
"['account', 'spreading', 'false', 'information']",Worldwide (online & offline)
"['saying', 'autumn', 'winter', 'coming', 'wouldnt', 'like', 'go', 'school', 'covid']",
"['middle', 'class', 'around', 'world', 'get', 'existence', 'ai', 'v']","London, 🇬🇧"
"['way', 'made', 'kit', 'like', 'taking', 'like', 'cough', 'fatigue', 'sneezing', 'headache', 'e']",
"['top', 'recovery', 'days', 'running', 'average']",Muscat
"['global', 'commercial', 'insurance', 'large', 'marsh', 'insurance']","London, Paris, Luxembourg"
"['news', 'carer', 'exhausted', 'looking', 'disabled', 'son']","New South Wales, Australia"
"['malaria', 'spreading', 'undetected']",India
"['little', 'half', 'population', 'yet']","White Bear Lake, MN"
"['school', 'na', 'scam', 'school', 'na', 'scam', 'much', 'made', 'saga']","Lagos, Nigeria"
"['vaccine', 'free', 'world', 'vaccine', 'spike', 'protein']","Melbourne, Victoria"
"['highest', 'spike']",Odisha
"['twitter', 'remove']",
"['series', 'two', 'rather', 'one']",Hong Kong
['martial'],"Lagos, Nigeria"
"['opinion', 'mask', 'works', 'best', 'people', 'sneezing', 'different', 'scena']",
"['ons', 'data', 'effects', 'cost']",United Kingdom
"['dont', 'reduce', 'spread', 'audiologist', 'tinnitus', 'earwax']",USA
"['district', 'four', 'covid', 'along', 'fresh', 'tally']",
"['third', 'testing', 'open', 'today', 'find']",Coventry and Warwickshire
"['without', 'right', 'support', 'entire', 'generation', 'like', 'risk', 'losing', 'right', 'learn']",Australia
"['government', 'child', 'development', 'home', 'test', 'corona', 'positive']",India
"['course', 'reduced', 'community', 'spread', 'could', 'keep', 'meat']","Tuam, Ireland"
"['election', 'focus']",
"['crowd', 'rise', 'contrary', 'ease']",Dombivli
"['increase', 'testing', 'detect', 'early', 'increase', 'vigilance', 'smaller', 'nursing']","Mumbai, India"
"['vaccine', 'comes', 'reality', 'early', 'next', 'year', 'theres', 'going', 'huge', 'question', 'mark']","Mumbai, India"
"['physical', 'new', 'empty', 'department', 'space']","Madrid, Spain"
"['virus', 'dangerous', 'enemy', 'cannot', 'afford', 'slip', 'undercover', 'team']",
"['member', 'campaign', 'cancel', 'rent', 'due', 'pandemic', 'many', 'people']",United States
"['still', 'plenty', 'hand', 'stock']","2205 Robertson Rd Ottawa, Ontario"
"['together', 'prevent', 'sold', 'everywhere', 'mostly']","Montréal, Québec"
"['joke', 'may', 'perceive', 'right', 'way', 'perfume']","Lagos, Nigeria"
"['origin', 'matter', 'science', 'china', 'straightforward', 'transparent', 'swift']","49/51 Portland Place, London"
"['final', 'solution']",Canberra
"['government', 'today', 'plasma', 'bank', 'man', 'singh', 'hospital', 'treatment', 'pa']",India
"['love', 'see', 'use', 'engage', 'audience']","Hillingdon, London"
"['much', 'sacrificing', 'due']","Herald Sun, Melbourne"
"['take', 'care', 'get', 'well', 'soon', 'please', 'everyone', 'stay', 'home', 'social', 'distance', 'mask', 'wash']","Fort Myers, FL"
"['definitely', 'amongst', 'cowardly', 'used', 'thats', 'saying', 'lot']",KY
"['globally', 'total', 'dead', 'last', 'august']","Dar es Salaam, Tanzania"
"['works', 'doesnt', 'fact', 'board', 'certified', 'em']",
"['article', 'inside', 'look']","Atlanta, GA"
"['thank', 'update', 'health', 'board', 'local']",
"['master', 'making', 'money', 'economy', 'sign', 'invite', 'earn']",United States
"['breeze', 'cooling', 'face', 'mask', 'gold', 'silver', 'hub', 'buy', 'breeze']",Worldwide
"['strategic', 'sideline', 'meeting', 'track', 'initiative']",Islamabad
"['also', 'col']",
"['sign', 'authorize', 'rapid', 'testing', 'ill', 'deliver', 'copy']",Text RESIST to 50409
"['west', 'new', 'new', 'total', 'confirmed', 'total', 'de']",
"['unsympathetic', 'illogical', 'decision', 'conduction']",INDORE MADHYA PRADESH
"['even', 'schooling', 'probably', 'used', 'embarrassed']",
"['back', 'expect', 'recovery']",Berlin
"['given', 'fighting', 'way', 'gone', 'ben', 'fighting']","California, USA"
"['hard', 'time', 'seeing', 'season', 'like', 'soccer']",Taiwan
"['destructive', 'hateful', 'agenda', 'downward', 'spiral']",
"['consultant', 'pediatrics', 'referral', 'hospital', 'f']",India
"['royal', 'middle', 'eastern', 'royalty', 'one', 'favorite']",Hollywood
"['aged', 'care', 'silence', 'via']",Everywhere
"['didnt', 'take', 'long', 'crew', 'cruise', 'ship', 'tested', 'positive', 'next', 'sai']",
"['minister', 'also', 'per', 'body', 'incentive', 'personnel', 'conduct', 'last']",India
"['new', 'song', 'quarantine', 'phenomenal', 'old', 'school', 'punk', 'love', 'quarantine']",anarchy ave.
"['several', 'strike']","Quito, Ecuador"
"['clarity', 'support', 'guidance', 'left', 'waiting', 'wondering']",Melbourne Australia
"['according', 'state', 'war', 'room', 'report', 'august', 'last', 'days', 'per', 'mill']",
"['citizen', 'journalism']",Gates of Hell
"['really', 'need', 'public', 'service', 'announcement', 'drinking', 'household']",Florida
"['time', 'problem', 'getting', 'alive', 'problem', 'totally', 'knew', 'would', 'happen']",Mumbai
['body'],Midwest
"['country', 'successfully', 'first', 'vaccine', 'russia', 'vaccine']","Hyderabad, India"
"['shovel', 'big', 'enough', 'carry', 'fact', 'matter']",New Jersey
"['local', 'say', 'dont', 'let', 'slip', 'cut', 'stay', 'safe', 'keep', 'virus', 'still']",Port Harcourt Nigeria 
"['vital', 'maintenance', 'view', 'video', 'find']",Northern Ireland
